level,room,printed size,printed m2,traced m2
Basement,RAMP UP TO GROUND FLOOR,,,26.34
Basement,CHEF ROOM,,,5.53
Basement,BATH,,,4.19
Basement,DRIVER'S ROOM,,,4.31
Basement,MAID ROOM 02,,,2.43
Basement,MAID ROOM 01,,,4.92
Basement,STORE,,,5.59
Basement,SURGE TANK,,,4.01
Basement,POOL PUMP ROOM,,,6.31
Basement,BATH,,,2.7
Basement,LAUNDRY 1.3X1.6,1.3X1.6,2.08,2.1
Basement,ENTRANCE LOBBY,,,4.97
Basement,ELEV,,,7.67
Basement,FUTURE AHU FOR CAR PARKING,4.2X4.5,18.9,15.17
Basement,SERVICES,,,7.05
Basement,SERVICES,,,7.05
Basement,CAR WASHING BAY,5.4X7.2,38.88,23.52
Basement,SERVICES,,,10.21
Basement,WATER TANK 2,,,3.09
Basement,WATER TANK 1,,,3.04
Basement,SUMP PIT,4.6X2.5,11.5,9.23
Ground Floor,FAMILY LOUNGE,6.9 X 4.8,33.12,23.32
Ground Floor,FORMAL LOUNGE,7.5 X 4.8,36,27.36
Ground Floor,KITCHEN,4 X 2.4,9.6,13.61
Ground Floor,MAIN KITCHEN,,,14.84
Ground Floor,STORE,2.5 X 1,2.5,2.46
Ground Floor,POWDER ROOM,2.3 X 2.4,5.52,4.32
Ground Floor,DRESS,2.6 X 2.4,6.24,2.71
Ground Floor,BATH,2.5 X 2.4,6,2.99
Ground Floor,GUEST BEDROOM,4.3 X 3.3,14.19,17.52
Ground Floor,ELEV.,,,7.33
Ground Floor,DOUBLE HEIGHT,,,8.31
Ground Floor,SWIMMING POOL,,,27.95
Ground Floor,SUNKEN SEATING,,,3.67
Ground Floor,BBQ AREA,,,6.09
First Floor,TERRACE,7.2 X 1.2,8.64,6.66
First Floor,MASTER BEDROOM,6.6 X 4.5,29.7,29.1
First Floor,BEDROOM 03,5.5 X 7.0,38.5,27.2
First Floor,BATH,2.4 X 3.1,7.44,6.28
First Floor,WALK IN CLOSET,2.4 X 2.0,4.8,4.77
First Floor,WALK IN CLOSET,4.3 X 4.4,18.92,21.05
First Floor,VAULT,1.8 X 2.1,3.78,4.5
First Floor,BATH,4.0 X 3.2,12.8,13.35
First Floor,PANTRY,1.9 X 1.8,3.42,4.43
First Floor,LOUNGE,4.8 X 4.2,20.16,24.04
First Floor,DRESS,2.7 X 2.4,6.48,6.24
First Floor,BATH,2.8 X 1.6,4.48,4.5
First Floor,BED ROOM 04,4.3 X 4.4,18.92,25.02
First Floor,TERRACE,4.6 X 1.2,5.52,17.84
First Floor,TERRACE,2.2 X 1.4,3.08,7.51
First Floor,ELEV.,,,10.16
Rooftop,Bedroom 3,,,
Rooftop,BBQ Area,,,
Rooftop,Plunge Pool,,,
